Country Name,Country Code,Indicator Code,value_2014
Arab World,ARB,BAR.PRM.ICMP.25UP.ZS,
Arab World,ARB,BAR.SEC.CMPT.25UP.ZS,
Arab World,ARB,BAR.SEC.ICMP.25UP.ZS,
Arab World,ARB,BAR.TER.CMPT.25UP.ZS,
Arab World,ARB,BAR.TER.ICMP.25UP.ZS,
Arab World,ARB,BAR.NOED.2529.ZS,
Arab World,ARB,BAR.PRM.CMPT.2529.ZS,
Arab World,ARB,BAR.PRM.ICMP.2529.ZS,
Arab World,ARB,BAR.SEC.CMPT.2529.ZS,
Arab World,ARB,BAR.SEC.ICMP.2529.ZS,
Arab World,ARB,BAR.TER.CMPT.2529.ZS,
Arab World,ARB,BAR.TER.ICMP.2529.ZS,
Arab World,ARB,BAR.NOED.3034.ZS,
Arab World,ARB,BAR.PRM.CMPT.3034.ZS,
Arab World,ARB,BAR.PRM.ICMP.3034.ZS,
Arab World,ARB,BAR.SEC.CMPT.3034.ZS,
Arab World,ARB,BAR.SEC.ICMP.3034.ZS,
Arab World,ARB,BAR.TER.CMPT.3034.ZS,
Arab World,ARB,BAR.TER.ICMP.3034.ZS,
Arab World,ARB,BAR.NOED.3539.ZS,
Arab World,ARB,BAR.PRM.CMPT.3539.ZS,
Arab World,ARB,BAR.PRM.ICMP.3539.ZS,
Arab World,ARB,BAR.SEC.CMPT.3539.ZS,
Arab World,ARB,BAR.SEC.ICMP.3539.ZS,
Arab World,ARB,BAR.TER.CMPT.3539.ZS,
Arab World,ARB,BAR.TER.ICMP.3539.ZS,
Arab World,ARB,BAR.NOED.4044.ZS,
Arab World,ARB,BAR.PRM.CMPT.4044.ZS,
Arab World,ARB,BAR.PRM.ICMP.4044.ZS,
Arab World,ARB,BAR.SEC.CMPT.4044.ZS,
Arab World,ARB,BAR.SEC.ICMP.4044.ZS,
Arab World,ARB,BAR.TER.CMPT.4044.ZS,
Arab World,ARB,BAR.TER.ICMP.4044.ZS,
Arab World,ARB,BAR.NOED.4549.ZS,
Arab World,ARB,BAR.PRM.CMPT.4549.ZS,
Arab World,ARB,BAR.PRM.ICMP.4549.ZS,
Arab World,ARB,BAR.SEC.CMPT.4549.ZS,
Arab World,ARB,BAR.SEC.ICMP.4549.ZS,
Arab World,ARB,BAR.TER.CMPT.4549.ZS,
Arab World,ARB,BAR.TER.ICMP.4549.ZS,
Arab World,ARB,BAR.NOED.5054.ZS,
Arab World,ARB,BAR.PRM.CMPT.5054.ZS,
Arab World,ARB,BAR.PRM.ICMP.5054.ZS,
Arab World,ARB,BAR.SEC.CMPT.5054.ZS,
Arab World,ARB,BAR.SEC.ICMP.5054.ZS,
Arab World,ARB,BAR.TER.CMPT.5054.ZS,
Arab World,ARB,BAR.TER.ICMP.5054.ZS,
Arab World,ARB,BAR.NOED.5559.ZS,
Arab World,ARB,BAR.PRM.CMPT.5559.ZS,
Arab World,ARB,BAR.PRM.ICMP.5559.ZS,
Arab World,ARB,BAR.SEC.CMPT.5559.ZS,
Arab World,ARB,BAR.SEC.ICMP.5559.ZS,
Arab World,ARB,BAR.TER.CMPT.5559.ZS,
Arab World,ARB,BAR.TER.ICMP.5559.ZS,
Arab World,ARB,BAR.NOED.6064.ZS,
Arab World,ARB,BAR.PRM.CMPT.6064.ZS,
Arab World,ARB,BAR.PRM.ICMP.6064.ZS,
Arab World,ARB,BAR.SEC.CMPT.6064.ZS,
Arab World,ARB,BAR.SEC.ICMP.6064.ZS,
Arab World,ARB,BAR.TER.CMPT.6064.ZS,
Arab World,ARB,BAR.TER.ICMP.6064.ZS,
Arab World,ARB,BAR.NOED.6569.ZS,
Arab World,ARB,BAR.PRM.CMPT.6569.ZS,
Arab World,ARB,BAR.PRM.ICMP.6569.ZS,
Arab World,ARB,BAR.SEC.CMPT.6569.ZS,
Arab World,ARB,BAR.SEC.ICMP.6569.ZS,
Arab World,ARB,BAR.TER.CMPT.6569.ZS,
Arab World,ARB,BAR.TER.ICMP.6569.ZS,
Arab World,ARB,BAR.NOED.7074.ZS,
Arab World,ARB,BAR.PRM.CMPT.7074.ZS,
Arab World,ARB,BAR.PRM.ICMP.7074.ZS,
Arab World,ARB,BAR.SEC.CMPT.7074.ZS,
Arab World,ARB,BAR.SEC.ICMP.7074.ZS,
Arab World,ARB,BAR.TER.CMPT.7074.ZS,
Arab World,ARB,BAR.TER.ICMP.7074.ZS,
